ID,OBJID,RELATIVE_FRAME,LANE_ID,ORIENTATION,SOLIDITY,AREA,WIDTH,COMPACTNESS_RATIO,ASPECT_RATIO,ECCENTRICITY,CENTROID_X,CENTROID_Y,YOCC,YCLASS
3,3,17,3,0.94864,0.90894,0.43722,0.71192,0.76564,1.2222,0.81066,214.45,179.67,0,2
3,3,18,3,0.94937,0.92593,0.43675,0.77952,0.78477,1.05,0.88286,214.26,180.6,0,2
3,3,19,3,0.95711,0.91304,0.44224,0.77568,0.74925,1.1,0.83856,214.46,180.92,0,2
3,3,20,3,0.98083,0.91744,0.43152,0.76558,0.76386,1.1,0.84988,214.38,181.77,0,2
3,3,21,3,0.92032,0.90658,0.40911,0.70636,0.75523,1.1579,0.79336,214.34,183.71,0,2
3,3,22,3,0.95602,0.8927,0.42015,0.73393,0.71134,1.15,0.81996,214.54,184.59,0,2
3,3,23,3,0.99555,0.87551,0.42641,0.72612,0.69054,1.2,0.79354,214.33,185.32,0,2
3,3,24,3,0.96163,0.88442,0.44923,0.75021,0.6859,1.1905,0.79061,214.21,186.45,0,2
3,3,25,3,0.9254,0.82308,0.46533,0.88124,0.53569,1,0.8356,213.75,187.39,0,2
3,3,26,3,0.96495,0.88406,0.46547,0.75378,0.66813,1.1364,0.82594,213.69,189.43,0,2
3,3,27,3,0.95957,0.90929,0.46725,0.71241,0.70251,1.1905,0.77661,214.06,190.16,0,2
3,3,28,3,0.8816,0.81015,0.47687,0.79831,0.5396,1.125,0.79907,213.47,191.63,0,2
3,3,29,3,0.90481,0.87365,0.47522,0.81606,0.60394,1.08,0.79355,213.65,193.06,0,2
3,3,30,3,0.9918,0.86936,0.48514,0.80969,0.56547,1.04,0.82938,213.32,193.66,0,2
3,3,31,3,0.93212,0.90282,0.49238,0.81836,0.62031,1.0385,0.89835,213.16,195.9,0,2
3,3,32,3,0.9808,0.8092,0.46842,0.87152,0.44619,1.0714,0.81613,213.55,196.79,0,2
3,3,33,3,0.98316,0.87447,0.48255,0.85667,0.66677,1,0.81539,213.02,198.19,0,2
3,3,34,3,0.94414,0.88736,0.47059,0.75498,0.66092,1.16,0.78445,213.43,199.26,0,2
3,3,35,3,0.94916,0.87219,0.47931,0.77283,0.60673,1.1154,0.78778,213.2,200.58,0,2
3,3,36,3,0.98692,0.90739,0.46545,0.72171,0.66942,1.16,0.76936,213.24,203.08,0,2
3,3,37,3,0.904,0.82783,0.50766,0.9016,0.58025,0.96875,0.80974,212.57,205.21,0,2
3,3,38,3,0.94414,0.929,0.47956,0.69445,0.80982,1.32,0.73485,213.01,206.48,0,2
3,3,39,3,0.94889,0.85743,0.48892,0.79566,0.53068,1.1034,0.7965,212.94,207.6,0,2
3,3,40,3,0.89663,0.81453,0.50053,0.78135,0.49399,1.2069,0.74227,212.92,209.27,0,2
3,3,41,3,0.94431,0.8762,0.49114,0.72503,0.62165,1.2857,0.71558,212.79,213.03,0,2
3,3,42,3,0.98584,0.82919,0.51015,0.79077,0.44559,1.1935,0.7222,212.32,214.49,0,2
3,3,43,3,0.98557,0.83134,0.52385,0.7774,0.50272,1.3871,0.69781,212,216.18,0,2
3,3,44,3,0.95872,0.85854,0.50315,0.68877,0.59347,1.5,0.66439,212.57,218.12,0,2
